hour,seasonal_effect
0,9.442541397833756
1,3.029059409986534
2,-2.5000828426176334
3,-5.847079912930133
4,-7.393135685499577
5,-8.352033254944022
6,-9.099751896437077
7,-9.719898923346799
8,-10.220625919874578
9,-10.67881548150652
10,-11.027974552687075
11,-11.281029023173188
12,-11.53191352170417
13,-10.934799639492633
14,-8.975584687235688
15,-4.760605303555132
16,1.9445080862018125
17,8.373229874396257
18,13.610366376132369
19,17.174472278910144
20,18.793208715542086
21,18.89814035616709
22,17.156091202521253
23,13.901712947312923
